Author,Title,Year,Themes
Alexandre Dumas,La reine Margot,1844,"Accessible book, Fiction, Saint Bartholomew's Day, Massacre of, France, 1572, Protected DAISY, Massacre of Saint Bartholomew's Day (France : 1572) fast (OCoLC)fst01103595, Drama, Russian language edition, France, fiction, Continental european fiction (fictional works by one author), Fiction, historical, general, Romans, nouvelles, Queens, Saint-Barthélémy, Massacre de la, 1572, Bartholomäusnacht, Freundschaft, Hugenottenkriege, Liebe, Fiction, general, Drama (dramatic works by one author), Kings and rulers"
Alexandre Dumas,Charles VII chez ses grands vassaux,1830,"Théâtre, Accessible book, History, Drama, Africans, Continental european drama (dramatic works by one author)"
Alexandre Dumas,Les mille et un fantomes,1849,"Rules and practice, United States. Congress. House, United States, Ghost stories, French fiction, Translations into Vietnamese"
Alexandre Dumas,Crimes célèbres,1840,"Crime, Criminals, Criminology, Accessible book, World history"
Alexandre Dumas,Le Chevalier d'Harmental,1842,"Fiction, History, Cellamare Conspiracy, 1718 in fiction, France in fiction, Cellamare Conspiracy, 1718, Orléans, Philippe, in fiction, Accessible book, Operas, Vocal scores with piano, Fiction, general, Cellamare, Conspiration de, 1718, Romans, nouvelles, Continental european fiction (fictional works by one author)"
Alexandre Dumas,Vingt ans apres̀,1800,"Ficción, Fiction, France, Histoire, Historia, History, Roman, Romans, Swordsmen, Accessible book, Protected DAISY, In library, France, fiction, Three musketeers (fictitious characters), fiction, Continental european fiction (fictional works by one author), Fiction, action & adventure, French fiction, Classic Literature, OverDrive, Fiction, general"
Alexandre Dumas,Le speronare,1842,"Description and travel, Journeys, Fiction, Historical Fiction, OverDrive, Italy in fiction, Accessible book, Travel"
Alexandre Dumas,Ten Years Later,1893,"Fiction, Historical Fiction, OverDrive, Accessible book, France Hist. Louis XIV, 1643-1715 Fiction, History, Fiction, historical, general, Fiction, classics, Fiction, action & adventure, Fiction, general"
Gustave Flaubert,La tentation de saint Antoine,1884,"Christian saints, Fiction, Pottery, Bible, Dictionaries, Antiquities, Fiction, romance, historical, Continental european fiction (fictional works by one author), Egypt, fiction, Drama, Classic Literature, Sex in art, Art, Exhibitions, Influence, Art collections, Modern Art, Private collections, Temptation in art, Fiction, romance, historical, general, Criticism and interpretation, Description and travel"
Gustave Flaubert,Par les champs et par les greves (voyage en Bretagne),1900,"Description and travel, Voyages and travels, Journeys, Travel, Descriptions et voyages"
Gustave Flaubert,Salammbô,1863,"Fiction, History, Continental european fiction (fictional works by one author), Rome, fiction, Historia, Ficción, Cartago (Ciudad desaparecida), Classic Literature, Non-English Fiction, Carthage (Extinct city), Comics & graphic novels, science fiction, Histoire, Fiction, historical, general, Large type books, Illustraties, Frans"
Gustave Flaubert,Trois contes,1877,"Classic Literature, Fiction, French language, Programmed instruction, Translations into English, French language materials, French literature, translations into english, Continental european fiction (fictional works by one author), Manners and customs, Flaubert, gustave, 1821-1880, Fiction, religious, Fiction, general"
Gustave Flaubert,Bouvard et Pécuchet,1896,"Classic Literature, Fiction, Correspondence, French fiction, Continental european fiction (fictional works by one author), Romance literature, Criticism and interpretation, Translations into English, Translations from French, French wit and humor"
Émile Zola,La terre,1887,"Continental european fiction (fictional works by one author), Classic Literature, Fiction, Literature, French fiction, Fiction, general, Fiction, family life, Fiction, historical, general, France, fiction, Country life, Peasants, Fiction, historical, Social conditions, History"
Émile Zola,His Excellency,1897,"20 book series Rougon-Macquart, History, Fiction, France, fiction, Fiction, historical, general, Fiction, political"
Émile Zola,Assommoir,1870,"Fiction, French literature, Married women, poverty, Working class women, Working class women in literature, Social life and customs, alcoholism, abusive relationship, Delirium tremens, Modern Literature, French, Spouses, In literature, Working Women, Manners and customs, Fiction, family life, Married people, fiction, Paris (france), fiction, Continental european fiction (fictional works by one author), France, fiction, Married women--fiction, Working class women--fiction, Pq2496 .m38 2009, 843/.8"
Stendhal,Napoléon,1877,"Biography, Contemporaries, Emperors, Histoire, History, Kings and rulers"
Stendhal,"Cartuja de Parma, La",1800,"Young men, Fiction, Social life and customs, Italy, fiction, Fiction, general, Manners and customs, French fiction, Stendhal (Henri Beyle, dit). Textes, Young men in fiction, Italy in fiction, French literature, Textual Criticism, Translated into English, Italy, French language, Social conditions, Northern italy in fiction, Classic Literature, Literature, Constitutional history, Witenagemot, Political fiction, Continental european fiction (fictional works by one author), Fiction, political, Romance literature, Waterloo, Battle of, Waterloo, Belgium, 1815, History, Waterloo, Battle of (Belgium : 1815) fast (OCoLC)fst01172689, Stendhal, pseud., 1783-1842. La Chartreuse de Parme, Literature in Spanish, French language materials, Criticism, textualstendhal , 1783-1842, French literature--19th century, England. Witenagemot, Romance frances, Criticism and interpretation"
Stendhal,Le rouge et le noir,1800,"Fiction, Young men, Social life and customs, Young men in literature, Stendhal, pseud., 1783-1842. Le rouge et le noir, French language, Stendhal, pseud., 1783-1842, Church and state, Ambition, Criticism and interpretation, Critique et interprétation, Classic Literature, French fiction, 19th century fiction, General, Manners and customs, History, Social classes, French language materials, Continental european fiction (fictional works by one author), France, fiction, Fiction, romance, general, Ficción, Jóvenes (Hombres), Vida social y costumbres, Littérature française, Étude et enseignement (secondaire), Réalisme, XIXeme, psychologie, romance, Literatura francesa, Romans, nouvelles, Église et État, Jeunes hommes, Mœurs et coutumes, Romance Frances, French literature, Literatura,, Social conditions, Illustraties, Frans, Young men--france--fiction, Pq2435.r7 e5 2002, 843/.7"
Stendhal,Lucien Leuwen,1894,"French fiction, Translations into Russian, Politics and government, Social life and customs, Dissenters, Fiction, Continental european fiction (fictional works by one author)"
Stendhal,Promenades dans Rome,1829,"Biography, Description and travel, French, French Authors, History, Travel, Descriptions et voyages"
Stendhal,Histoire de la peinture en Italie,1854,"History, Italian Painting, Painting, Peinture, Histoire"
Stendhal,"Rome, Naples et Florence",1818,"Description and travel, Social life and customs, Descriptions et voyages, Mœurs et coutumes, Vida social y costumbres"
Alfred de Musset,"Gamiani, or Two Nights of Excess",1800,"Fiction, erotica, general, Littérature érotique, French Erotic literature, Classic Literature, Fiction, Romance literature"
George Sand,Le meunier d'Angibault,1852,"Fiction, Social life and customs, Social reformers, Country life, Socialism, Berry, Manners and customs"
George Sand,La charca del diablo,1846,"widowers, family, rural life, marriage customs, Vie rurale, Romans, marriage, Berry (France), peasantry, Paysannerie, French language materials, Continental european fiction (fictional works by one author), French language, Readers, Textbooks"
George Sand,Indiana,1832,"Fiction, Man-woman relationships, Marriage, Women, Classic Literature, Social life and customs, France, fiction, Man-woman relationships, fiction, Fiction, general, Children's fiction, Indiana, fiction, Young women, fiction"
George Sand,The haunted pool,1890,"Country life, Parent and child, Fiction, Man-woman relationships, French Pastoral fiction"
George Sand,Histoire de ma vie,1854,"Childhood and youth, Biography, French Novelists, Classic Literature, Fiction, Sand, george, 1804-1876"
George Sand,Un hiver à Majorque,1869,"Description and travel, Journeys, French Novelists, Travel, History, French, Biography"
George Sand,Letters of George Sand,1886,"Correspondence, French Novelists, Labor and laboring classes, French Authors, Princes"
Jules Verne,Les enfants du capitaine Grant,1868,"Classic Literature, Fiction, Voyages around the world, Ship captains, Castaways, Viajes alrededor del mundo, Novela, Capitanes de barcos, Naufragios"
Jules Verne,Deux ans de vacances,1900,"Fiction, Voyages and travels, Islands, French language, Readers, Textbooks for foreign speakers, French fiction, Adaptations, French language materials"
Jules Verne,Voyage au Centre de la Terre,1867,"Fiction, Science fiction, Imaginary Voyages, Imaginary voyages in fiction, Explorers in fiction, Explorers, Cartoons and comics, Adventure and adventurers, Adventure and adventurers in fiction, French Science fiction, Voyages and travels, Earth in fiction, Core, Juvenile fiction, Voyages and travels in fiction, Ciencia-ficción, Earth, Vietnamese language books, Classic Literature, Thriller, Fiction, science fiction, action & adventure, Lidenbrock, professor (fictitious character), fiction, Fiction, science fiction, general, Large type books, Planets, Geology, Internal structure, Fantasy fiction, Adventure stories, Volcanoes, Leprosy, Patients, French fiction, Professor Lidenbrook (Fictitious character), Children's fiction, Adventure and adventurers, fiction, Volcanoes, fiction, Fiction, action & adventure, Illustraties, Frans, Viajes, Núcleo, Adventures and adventurers, Aventuras, Tierra, Ficción, Earth (Planet) -- Core -- Fiction, Voyages, Imaginary -- Fiction"
Jules Verne,An Antarctic Mystery,1899,"travel, Antarctica, Southern Ocean, Science fiction, Discovery and exploration, Fiction"
Jules Verne,The Begum's fortune,1860,"Bounty (Ship), Fiction, Mutiny, Future life, Totalitarianism, United states, fiction, Fiction, general"
Jules Verne,Vingt mille lieues sous les mers,1870,"Toy and movable books, Fiction, Specimens, Underwater exploration, French language, Submarine boats, Translations from French, Submarines, Children's stories, French, Underwater exploration in fiction, Sea stories, Adaptations, Open Library Staff Picks, Children's stories, English, Submarinos, Science fiction, Submarines (Ships), Adventure stories, 20,000 leagues under the sea, French fiction, French Adventure stories, Juvenile fiction, Translations into English, Verne, Jules,, Ficción juvenil, Verne, Jules, 1828-1905, Exploraciones submarinas, Long Now Manual for Civilization, Verne, Jules, (1828-1905), Adventure and adventurers, French Science fiction, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Continental european fiction (fictional works by one author), Fiction, fantasy, general, Fiction, action & adventure, Fiction, sea stories, Fiction, science fiction, general, Children's fiction, Submarines (ships), fiction, Literature and fiction, juvenile, Large type books, Juvenile literature, Ship captains, Motion Pictures, Walt Disney, Movies, Adventure, Films, Disney, Classic Literature, Thriller, Science Fiction & Fantasy, Young Adult Fiction, Maritime fiction, Comics & graphic novels, science fiction, Readers, Sea, Adventure and adventurers, fiction, Readers for new literates, Romance literature, Underwater exploration, fiction, High interest-low vocabulary books, Récits de mer, Sous-marins, Romans, nouvelles, Anglais (Langue), Lectures et morceaux choisis pour nouveaux alphabétisés, Livres de lecture facile, Illustraties, Frans"
Jules Verne,Michael Strogoff,1877,"Fiction, History, Juvenile fiction, Tatars, Children's literature, French, Heroes, Classic Literature, Thriller, Children's fiction, Soviet union, fiction, Heroes, fiction, Soviet union, history, fiction"
Jules Verne,Le Tour du Monde en Quatre-Vingts Jours,1872,"Viajes alrededor del mundo, Translations into Gujarati, Fiction, Translations from French, Children's stories, French, Historical fiction, Korean language materials, Adventure and adventurers, Open Library Staff Picks, Children's stories, English, Adventure stories, Wagers, French fiction, Juvenile fiction, Translations into English, Voyages around the world, Ficción, Adventure fiction, French Science fiction, Submarines (Ships), Sea stories, Science, Continental european fiction (fictional works by one author), Fiction, action & adventure, Children's fiction, Voyages and travels, fiction, Adventure and adventurers, fiction, Balloons, fiction, Large type books, Travel, Flights around the world, English fiction, Translations into French, Readers, French language, Classic Literature, British and irish fiction (fictional works by one author), Roman d'aventures, Roman pour la jeunesse, Spanish language books, Spanish language, English language, Textbooks for foreign speakers, Readers for new literates, Travelers, Criticism and interpretation, Critique et interprétation, Tour du monde en quatre-vingts jours (Verne, Jules), Aventures, Romans, Romans, nouvelles, etc. pour la jeunesse, Littérature pour la jeunesse, Ouvrages pour la jeunesse, Voyages autour du monde, Paris, Employés de maison, Policiers, Erreur sur la personne, Lectures et morceaux choisis, Lecture (Enseignement Primaire), Problèmes et exercices, Voyages, Thriller, Literatura, Action & Adventure - General, Weltreise, Fantasy, Romance literature, Detectives, fiction, March family (fictitious characters), fiction, American fiction (fictional works by one author), Sisters, fiction, Vols autour du monde, Fiction, fantasy, general, Illustraties, Frans, Comics & graphic novels, general, Aeronautics, Ke xue huan xiang xiao shuo, Chang pian xiao shuo, Romans, nouvelles, General, Suo xie ben, Littérature française, Histoire et critique, Fiction, general"
Alphonse Daudet,Lettres de mon moulin,1869,"Readers, French language, Social life and customs, History, Contes et légendes, Fiction, In literature, Lectures et morceaux choisis, Literature"
Alphonse Daudet,Tartarin de Tarascon,1800,"French language, Readers, Book design, Books, Illustration of, Fiction, Literary"
Alphonse Daudet,Lettres de mon moulin,1895,"Readers, French language, Social life and customs, History, Contes et légendes, Fiction"
Théophile Gautier,Portraits contemporains,1874,"Intellectual life, Arts, Artists, Vie intellectuelle, bub_upload"
Théophile Gautier,Short stories,1882,"Translations into English, Social life and customs, Fantasy fiction, French, Ghost stories, French, Fiction, French Fantasy fiction, French Ghost stories, French literature, translations into english, French Short stories"
Théophile Gautier,Voyage en Espagne,1845,"Description and travel, Social life and customs, Readers, French language, Travel, Journeys"
Charles Baudelaire,Nouvelles histoires extraordinaires (Berenice / Black Cat / Cask of Amontillado / Colloquy of Monos and Una / Conversation of Eiros and Charmi / Devil in the Belfry / Fall of the House of Usher / Four Beasts in One / Hop-Frog / Imp of the Perverse / Island of the Fay / King Pest / Lionizing / Man of the Crowd / Masque of the Red Death / Oval Portrait / Pit and the Pendulum / Power of Words / Shadow / Silence / Some Words with a Mummy / Tell-Tale Heart / William Wilson),1857,"short stories, aristocracy, American Horror tales, American literature, Children's fiction, Classic Literature, Crime, Crime fiction, Detective and mystery stories, Fiction, first-person narrative, Gothic fiction, Homicide, Horror, Horror fiction, Horror stories, Horror tales, Hyperesthesia, Juvenile fiction, Murder, silence, American fiction, American Short stories, fear, pendulums, Spanish Inquisition, abbeys, daggers, Hematidrosis, Juvenile audience, masquerade balls, nobility, plagues, shrouds, self-destructive behavior, metaphors, coroners, hanging, burial vaults, catalepsy, dragons, hermitages, heroic romances, hysteria, knights, maces, psychogenic death, tarns, Revenge, cats, short story, unreliable narrators, self-hatred, gallows, obsessive-compulsive disorder, monomania, fixation, American fantasy fiction"
Charles Baudelaire,Essays,1890,"History and criticism, French literature, Art, Painting, French, Romanticism, Art criticism, History, Art, Modern, Arts, Criticism and interpretation, Fantasy literature, American, Addresses, essays, lectures, French Painting, American Fantasy literature, Modern Art, Baudelaire, charles, 1821-1867, Fiction, short stories (single author), French essays, Modern Arts, Translations into englishbaudelaire, charles , 1821-1867, Views on artbaudelaire, charles , 1821-1867, Art criticism--history, Art criticism--france--history--19th century, N7445.3 .b3713 1995, 700"
Charles Baudelaire,Curiosités esthétiques,1885,"Art, Art criticism, Artists, Exhibitions, French, History, Modern Art, French Art"
Edmond de Goncourt,Histoire de la société française pendant le Directoire,1854,"History, Mœurs et coutumes, Social life and customs, French Revolution, 1795-1799 (Directoire), France, Histoire"
Edmond de Goncourt,La femme au dix-huitieme siecle,1862,"Social and moral questions, Women, Salons, Social life and customs, History, Eighteenth century, 18th century, Fiction, France, Manners and customs, Femmes, Mœurs et coutumes, Salons littéraires, Social conditions, Women in France, Histoire, Frau, Vrouwen, Law, Indexes"
Edmond de Goncourt,La Guimard,1892,"Dance, France Paris, Histoire et critique, History, Opéra, Opéra de Paris, Paris, France. Opera, Histoire"
Edmond de Goncourt,Hokousaï,1895,"Biographies, Japanese Art, Peintres, Art, japanese, Hokusai, katsushika, 1760-1849, Criticism and interpretation, ART / General, Painting, japanese"
Joris-Karl Huysmans,À rebours,1900,"Romans (teksten), Aesthetics, decadent, Fiction, Fantasy, Aesthetics in fiction, Long Now Manual for Civilization, French fiction, Gifted children, Education, Fiction, general, Continental european fiction (fictional works by one author), LGBTQ novels before Stonewall, Aesthetics--fiction, Pq2309.h4 a6213 2003, 843.8"
Joris-Karl Huysmans,L' art moderne,1883,"History, Modern Art, Paris, France.  Salon, 1879-1881, Salon (Exhibition : Paris, France), Salon (Exhibition : Paris, France) (1879-1881)"
Octave Mirbeau,Abbe Jules,1880,"Fiction, general, Fiction, Catholic Church, Abbots, Clergy, Priests"
Octave Mirbeau,Le calvaire,1887,"Fiction, general, France -- Social life and customs -- 19th century -- Fiction, Fiction, Art, Fiction, biographical, Fiction, coming of age"
Octave Mirbeau,The Garden of evil,1899,"Erotic stories, Histoires érotiques, Fiction, erotica, general, Fiction, general, Fiction, erotica, Torture, Fiction, French fiction, Translations into English"
Félicien Champsaur,Masques modernes,1889,"Social life and customs, Popular culture, Theater, History, Modern Art, Modern Literature, History and criticism"
Gustave Aimard,The Indian Scout,1850,"Friendship, Juvenile fiction, Indians of North America, Adventure stories, Prisoners, Outdoor life, Prairies"
Prosper Mérimée,Short stories,1874,"Carmen (Fictitious character), Fiction, Translations into English, Merimee, prosper, 1803-1870, French literature, translations into english, Continental european fiction (fictional works by one author)"
Prosper Mérimée,Carmen,1800,"Operas, Librettos, Scores, Arranged String orchestra music, Piano scores, Vocal scores with piano, Arranged Excerpts, Classical music (c 1750 to c 1830), Musical scores, lyrics & libretti, Opera, Music/Songbooks, Music, Genres & Styles - Opera, Bizet, georges, 1838-1875, Operas, librettos, History and criticism, Carmen (Bizet, Georges), Operas, scores, Costume"
Prosper Mérimée,Carmen,1883,"Carmen (Fictitious character), Fiction, French language, Readers, Slave-trade, Illustraties, Frans"
Paul Féval,Jesuits!,1879,"Jesuits, Fiction, Rules, History, Missions, Church history, Apologetic works, Catholic Church"
Eugène Sue,Juif errant,1844,"Jesuits, Wandering Jew, Fiction, Illustrations, In literature"
Eugène Sue,Los misterios de Paris,1844,"Politics and government, Translations, Working class, French fiction, Fiction"
Félicité de La Mennais,De la religion,1841,"Church and state, Église et État, Religion, Philosophie et religion, Dix-neuvième siècle, Catholic Church, Église catholique"
Charles Nodier,Bibliothèque sacrée grecque-latine,1826,"Bible, Bibliography, Classical literature, Fathers of the church, Scholasticism, Biography, Bio-bibliography"
Charles Nodier,Mélanges tirés d'une petite bibliothèque,1829,"Literature, Bibliography, History and criticism, Bibliographie, Littérature, Histoire et critique"
Barbey d'Aurevilly,Les poètes,1889,"French Poets, French poetry, Histoire et critique, History and criticism, Poets, French, Poésie française"
Barbey d'Aurevilly,Les philosophes et les écrivains religieux,1860,"French Philosophy, French Religious literature, Histoire et critique, History and criticism, Littérature religieuse, Philosophie française, Philosophy, French, Religious literature, French"
Barbey d'Aurevilly,Les vieilles actrices,1884,"Actresses, Actresses, French, Authors, French, French Actresses, French Authors"
Paul de Kock,Oeuvres,1864,"Description and travel, Travel, History, Librarians, Correspondence"
